id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
700000,2022-06-08 09:16:48,台湾,2540871,0,13742,3214,0,0,,,,82990,,0,124,,82866
810000,2022-06-08 09:16:49,香港,332883,0,62575,9389,0,0,,,,90,,49,3,,38
420000,2022-06-08 00:00:17,湖北,68399,0,63886,4512,0,0,,,,0,,0,0,,0
310000,2022-06-08 08:14:55,上海,63062,0,62455,595,0,0,,,,12,,71,0,,-59
220000,2022-06-08 10:46:53,吉林,40293,0,40159,5,0,0,,,,0,,1,0,,-1
440000,2022-06-08 09:16:49,广东,7320,0,7283,8,0,0,,,,1,,2,0,,-1
110000,2022-06-08 08:14:56,北京,3436,0,3246,9,0,0,2842.0,0.0,2661.0,4,,29,0,,-25
350000,2022-06-08 09:40:49,福建,3311,0,3241,1,0,0,,,,9,,2,0,,7
610000,2022-06-08 00:00:16,陕西,3283,0,3280,3,0,0,,,,0,,0,0,,0
410000,2022-06-08 08:42:46,河南,3183,0,3148,22,0,0,,,,0,,10,0,,-10
330000,2022-06-08 10:20:52,浙江,3139,0,3126,1,0,0,,,,0,,2,0,,-2
230000,2022-06-08 00:00:16,黑龙江,2984,0,2970,13,0,0,,,,0,,0,0,,0
370000,2022-06-08 07:22:45,山东,2738,0,2727,7,0,0,,,,2,,0,0,,2
510000,2022-06-08 10:46:54,四川,2353,0,2280,3,0,0,,,,1,,17,0,,-16
320000,2022-06-08 10:14:51,江苏,2235,0,2232,0,0,0,,,,0,,1,0,,-1
530000,2022-06-08 07:50:45,云南,2154,0,2136,2,0,0,,,,0,,1,0,,-1
130000,2022-06-08 00:00:16,河北,2005,0,1997,7,0,0,,,,0,,0,0,,0
120000,2022-06-08 00:02:16,天津,1978,0,1837,3,0,0,,,,0,,0,0,,0
150000,2022-06-08 09:34:50,内蒙古,1849,0,1752,1,0,0,,,,35,,0,0,,35
210000,2022-06-08 00:02:17,辽宁,1688,0,1671,2,0,0,,,,0,,0,0,,0
450000,2022-06-08 08:42:47,广西,1644,0,1632,2,0,0,,,,1,,3,0,,-2
430000,2022-06-08 00:00:17,湖南,1393,0,1389,4,0,0,,,,0,,0,0,,0
360000,2022-06-08 00:00:16,江西,1383,0,1382,1,0,0,,,,0,,0,0,,0
340000,2022-06-08 00:00:16,安徽,1065,0,1059,6,0,0,,,,0,,0,0,,0
650000,2022-06-08 00:00:16,新疆,1008,0,1005,3,0,0,,,,0,,0,0,,0
500000,2022-06-08 08:18:46,重庆,714,0,705,6,0,0,,,,1,,0,0,,1
620000,2022-06-08 00:00:16,甘肃,681,0,679,2,0,0,,,,0,,0,0,,0
140000,2022-06-08 07:50:45,山西,422,0,420,0,0,0,,,,1,,0,0,,1
460000,2022-06-08 00:00:16,海南,288,0,282,6,0,0,,,,0,,0,0,,0
520000,2022-06-08 00:00:17,贵州,185,0,183,2,0,0,,,,0,,0,0,,0
630000,2022-06-08 00:00:16,青海,147,0,147,0,0,0,,,,0,,0,0,,0
640000,2022-06-08 00:00:16,宁夏,122,0,122,0,0,0,,,,0,,0,0,,0
820000,2022-06-08 00:00:16,澳门,83,0,82,0,0,0,,,,0,,0,0,,0
540000,2022-06-08 00:00:16,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
